query,intent
who are you,about
tell me about yourself,about
what's your background,about
who is kareena,about
introduce yourself,about
your bio,about
about you,about
tell me about kareena,about
kareena's background,about
what do you do,about
who r u,about
tell me abt yourself,about
what's ur background,about
give me an intro,about
a little about you,about
describe yourself,about
what's your story,about
tell me your story,about
what are you about,about
what do u do,about
who r you,about
kareena who,about
about kareena,about
what is kareena about,about
tell me about you,about
tell me about u,about
tell me bout u,about
show me projects,projects
what have you built,projects
your work,projects
tell me about your projects,projects
what projects,projects
portfolio work,projects
show your projects,projects
project highlights,projects
what apps did you make,projects
built anything cool,projects
show me what you made,projects
what have u built,projects
show projects,projects
your apps,projects
what did you create,projects
what did u make,projects
show me your work,projects
what software have you built,projects
what have you developed,projects
list your projects,projects
give me your projects,projects
projects please,projects
what are your projects,projects
any cool projects,projects
what are your skills,skills
what languages do you know,skills
tech stack,skills
what can you do,skills
skills,skills
technologies,skills
programming languages,skills
what do you know,skills
technical skills,skills
tools you use,skills
what backend tools do you use,skills
backend tools,skills
what do you use for backend,skills
what frontend tools do you use,skills
frontend tools,skills
what frameworks do you use,skills
what libraries do you use,skills
what databases do you use,skills
what do you code in,skills
what's your tech stack,skills
what technology do you use,skills
what tools do you use,skills
backend stack,skills
frontend stack,skills
what programming language,skills
what language,skills
what languages,skills
programming language,skills
what's your tech stack,skills
tech stack,skills
what frameworks,skills
your stack,skills
how to contact,contact
email,contact
reach you,contact
how do i contact,contact
contact info,contact
get in touch,contact
linkedin,contact
how to reach,contact
how can i contact you,contact
what's your email,contact
contact kareena,contact
your linkedin,contact
tell me more,followup
more details,followup
elaborate,followup
explain that,followup
go on,followup
what else,followup
continue,followup
more info,followup
details,followup
can you expand,followup
say more about that,followup
tell me more about that,followup
hi,greeting
hello,greeting
hey,greeting
good morning,greeting
what's up,greeting
yo,greeting
hi there,greeting
hey there,greeting
hello there,greeting
hiya,greeting
hey kareena,greeting
hi kareena,greeting
thanks,farewell
thank you,farewell
bye,farewell
goodbye,farewell
see you,farewell
appreciate it,farewell
that's all,farewell
done,farewell
thank u,farewell
ty,farewell
bye bye,farewell
see ya,farewell
what are you,identity
are you a bot,identity
are you ai,identity
who made you,identity
are you real,identity
chatbot,identity
what is this,identity
are you a real person,identity
are you human,identity
are you chatgpt,identity
is this a bot,identity
who built you,identity
what's your experience,experience
work experience,experience
where have you worked,experience
your experience,experience
professional experience,experience
what jobs have you had,experience
have you worked anywhere,experience
what is your experience,experience
do you have experience,experience
tell me about your experience,experience
what have you done professionally,experience
your work history,experience
where do you study,education
what do you study,education
your education,education
what university,education
what school,education
what degree,education
are you a student,education
what are you studying,education
your degree,education
where do u study,education
what's your education,education
tru,education
what's the weather,offtopic
tell me a joke,offtopic
how old are you,offtopic
favorite color,offtopic
recommend a movie,offtopic
best restaurant,offtopic
what's the news,offtopic
stock prices,offtopic
sports scores,offtopic
play a game,offtopic
tell me a story,offtopic
who is the president,offtopic
